"","baseMean"
"araR_2",759.843032557421
"GPFGEMDG_01340",801.443519675018
"thiT",540.791021382691
"GPFGEMDG_01563",339.992482648309
"GPFGEMDG_01369",1756.9750141294
"patA_2",157.591714190647
"GPFGEMDG_00275",278.307269976333
"GPFGEMDG_00682",2557.62405373575
"ydcP_1",560.451501565274
"GPFGEMDG_02629",885.982920609344
"GPFGEMDG_01790",556.497033111803
"malL_2",1552.85575508428
"yteR",3012.00445625162
"dppE",801.724215597186
"GPFGEMDG_01444",56.0118061101231
"GPFGEMDG_01274",105.719910066297
"murJ_2",4567.86577619823
"glnR",6629.45480487968
"bca",7118.0107787677
"GPFGEMDG_01718",244.781130720938
"GPFGEMDG_00825",5396.69053423337
"nrdD",2144.49179350909
"sacA",386.40847617289
"GPFGEMDG_01048",32.229748404087
"lacR_1",218.430486203517
"GPFGEMDG_00204",18.0564032996961
"yfmO_1",1468.80720794166
"GPFGEMDG_01662",32.5688281443947
"metN2",97.532287994237
"GPFGEMDG_02691",731.691908014346
"GPFGEMDG_00039",1628.57666037642
"GPFGEMDG_02740",1836.24606691768
"gmuC_1",663.291181972337
"yjhB_1",242.071025516753
"GPFGEMDG_01627",1376.75962381762
"comGA",1842.28857908876
"cpdA_1",1631.09614929726
"cggR",222.407104658678
"malL_1",2811.0309265998
"GPFGEMDG_01256",1212.50658072525
"GPFGEMDG_01584",4263.08544136538
"GPFGEMDG_01907",960.458687676679
"pfkB",1842.20740422743
"araC_2",728.884918845759
"GPFGEMDG_00861",1907.01985320351
"GPFGEMDG_00708",4758.73000139143
"GPFGEMDG_02264",843.249994888989
"GPFGEMDG_00048",922.427480375493
"gph_3",465.348515693983
"GPFGEMDG_01579",5214.71227330152
"dhaK",167.19494819659
"GPFGEMDG_02324",1549.13477486962
"algC",3688.49821881073
"hcf136",3331.07690428005
"mtlR_1",471.746952095935
"smc_4",862.214127628003
"GPFGEMDG_02724",427.367053289427
"GPFGEMDG_01074",1730.67483592684
"por_2",1440.7252586302
"opuCC",374.599968383952
"cobB",778.698312471316
"atpA",32.5369802566574
"gdhIV",3992.32976682655
"GPFGEMDG_00544",358.312449467298
"GPFGEMDG_00832",237.067142318796
"yjlD",4675.33410650148
"GPFGEMDG_02760",193.519727632006
"gdh",1476.71880983037
"glnP_1",74.6379272303384
"GPFGEMDG_01800",8225.97957074652
"phoR_4",30.940494224301
"czcD",501.297380174432
"GPFGEMDG_02283",62.3863177364658
"menA",2563.13373252716
"GPFGEMDG_00641",614.705750753514
"acuR",2338.19696078081
"GPFGEMDG_00288",179.784134241148
"GPFGEMDG_00122",95.077088267892
"thiO",3094.72839733536
"licH",539.228435371817
"bglH_1",2164.87894407424
"GPFGEMDG_00212",96.1842823703317
"GPFGEMDG_00965",993.68183383103
"rapA",1531.9590395373
"lytA_2",3101.87173765566
"phoR_1",292.370349594908
"GPFGEMDG_01222",147.655916146255
"ctpE_2",798.642772570454
"stp",347.132183916398
"hchA",2045.1143661463
"xerC_2",442.914081170464
"rpoE",258.1540752847
"pepV",212.082882225367
"GPFGEMDG_01902",77.6307174039114
"GPFGEMDG_00540",104.712115063703
"manZ_3",3190.06842458952
"GPFGEMDG_02635",1123.63921946174
"GPFGEMDG_01526",360.085887798013
"GPFGEMDG_00988",1157.94948554864
"GPFGEMDG_02180",78.423828806374
"fldH_2",432.743068630657
"yvdM_2",953.661498614758
"GPFGEMDG_02003",283.01392969853
"GPFGEMDG_02260",362.645629865992
"GPFGEMDG_01904",1300.64341664834
"GPFGEMDG_01687",4309.72373795259
"ecsA_1",265.903467543704
"rpmF_1",3062.8581745536
"arcD1_2",1809.56542797524
"GPFGEMDG_00650",527.586698503571
"GPFGEMDG_00403",1164.59346617681
"GPFGEMDG_00193",603.128642606971
"uxaC",524.369258398813
"ltaS1_3",2293.41912870646
"hemN",440.59714491269
"GPFGEMDG_02526",1728.71696871945
"mtlA_2",246.567594304962
"lacG_1",2389.74204863391
"ybbH_2",123.562286687729
"mleS",2416.42164236541
"clcA",1816.17297540039
"kojP",5448.82127972112
"GPFGEMDG_01698",6116.69567759636
"GPFGEMDG_02707",7087.13737287597
"punA",31.0319713911637
"GPFGEMDG_02363",12.3039130513182
"GPFGEMDG_01595",6381.20217295487
"murR_1",12736.9931575084
"GPFGEMDG_00101",4751.56799042794
"GPFGEMDG_01699",12467.3082277487
"GPFGEMDG_01007",275.889113567179
"GPFGEMDG_00975",35.4215006534878
"ndvA",503.150087056059
"GPFGEMDG_00052",1383.18752684796
"GPFGEMDG_00831",72.6368597740366
"nhaK",4695.7417021557
"queG",380.486091788258
"glxK",11206.1796755695
"rspR_2",1311.2312235419
"agrA_2",462.582136996178
"GPFGEMDG_01318",36.0821254565541
"pbpX_1",187.471813644411
"GPFGEMDG_00436",1786.52007141278
"GPFGEMDG_00170",834.390433041898
"lacG_3",1220.3478549655
"GPFGEMDG_02400",226.553403580384
"fabG_3",431.224859692993
"helD_1",1993.08171075463
"ykuT",312.913089165271
"GPFGEMDG_01646",1868.60251132218
"GPFGEMDG_00103",3493.70990948867
"oppF_1",442.250885838843
"fruA_3",988.649506459562
"pepF1_1",220.071472913591
"agrA_1",2337.50202364845
"GPFGEMDG_00111",2344.87390163145
"GPFGEMDG_00231",7501.98604255841
"comGC",1740.65220361042
