"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"rlmL"	11898.1794534692	-0.325735141383536	0.0469395530821718	-6.93945979445753	3.93602117229466e-12	6.35690375970813e-12
"gatA_2"	7816.73598738961	-0.330272404192399	0.0662028025147907	-4.98879793070106	6.07561564740221e-07	8.55981741997554e-07
"glnM_1"	1668.01487427583	-0.334053469929588	0.0725777432133054	-4.6026985014925	4.17051754674301e-06	5.71710011133178e-06
"nagA"	11744.1145771824	-0.335825397058423	0.050024372265142	-6.71323560600546	1.90355377151244e-11	3.01363034720733e-11
"prs"	13523.8324756867	-0.336114116220177	0.0612314042649695	-5.4892439632071	4.03657773308579e-08	5.88860908763377e-08
"clpB"	4948.57805353997	-0.338354170714199	0.0566416882813944	-5.97358908218387	2.32089958973889e-09	3.49973274769537e-09
"parC"	26679.1805417729	-0.339359867063357	0.053253691629934	-6.37251346670214	1.85955085342221e-10	2.88107421135506e-10
"ruvA"	4699.54069254438	-0.341997537249354	0.0707790182119407	-4.83190563939834	1.35232350600009e-06	1.88262221173505e-06
"yfiC"	680.769312473656	-0.343712298231855	0.0876133289056707	-3.92305945368101	8.74315645554879e-05	0.000115288547894379
"aroE"	1164.86026840438	-0.352335050177776	0.0849275164992712	-4.14865599161609	3.3443292564491e-05	4.47575875006325e-05
"xerD_2"	1583.64027925817	-0.355053654455177	0.0809491239749881	-4.38613337637702	1.15383386205052e-05	1.5620346416915e-05
"mutL"	9279.76362062335	-0.35708899444127	0.0590417035874925	-6.04808080972983	1.4658143433092e-09	2.22132860185066e-09
"cobQ"	3147.2847083	-0.357375548877172	0.060591412096841	-5.89812213496514	3.6766179749901e-09	5.50588906185833e-09
"rsmD"	1890.66725081081	-0.359220107994118	0.0636785783840457	-5.64114521884676	1.68922811709082e-08	2.49292095186949e-08
"rnc"	4333.34647835026	-0.360787448190838	0.0571139418791107	-6.31697684174019	2.66729533661018e-10	4.1157961475758e-10
"thiI"	6294.99334193235	-0.365107296786654	0.0552479598348663	-6.60852089159388	3.88178765638143e-11	6.10109659511757e-11
"dinG_2"	4737.74197989426	-0.368444760059655	0.0533931584449811	-6.90059870571842	5.17838253252354e-12	8.34568952067021e-12
"rasP"	7368.35032939091	-0.369704065617651	0.0613685920660075	-6.02432047357385	1.69821583125791e-09	2.56840388381907e-09
"asnS"	12909.2284511531	-0.37382698399546	0.0615078110184437	-6.07771562352243	1.21906697623014e-09	1.8492420366519e-09
"gpmA_2"	1846.5505742016	-0.379002269382973	0.0712570496833944	-5.31880383859472	1.04451674472356e-07	1.49651834639133e-07
"ybiT_2"	1173.28208553598	-0.379472615544882	0.0734757703038016	-5.16459526692772	2.4095972999478e-07	3.42973522226215e-07
"rihB"	12968.8697519836	-0.380808754594979	0.0758919405233083	-5.01777595841054	5.22730851870518e-07	7.38514923375509e-07
"lepA"	10818.1427995746	-0.38293679686966	0.0463960230138465	-8.25365563672077	1.53621590852111e-16	2.66172562989494e-16
